title,author,length
Endeavour,Christopher G. Nuttall,Length: 13 hrs and 20 mins
"America, a Redemption Story","Senator Tim Scott,Joe Clark,Francis Scott - foreword",Length: 6 hrs and 11 mins
The Ex-Husband,Samantha Hayes,Length: 10 hrs and 2 mins
Zero Recall,Sara King,Length: 19 hrs and 20 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Fifth Season,N. K. Jemisin,Length: 15 hrs and 27 mins
The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins
Communion,Whitley Strieber,Length: 12 hrs and 14 mins
Stories of Jedi and Sith,"Roseanne A. Brown,Sarwat Chadda,Alex Segura,Delilah S. Dawson,Karen Strong,Michael Kogge,Michael Moreci,Sam Maggs,Tessa Gratton,Vera Strange",Length: 6 hrs and 1 min
Metropolis,B. A. Shapiro,Length: 11 hrs and 58 mins
You're Not Broken,Christopher Michael Duncan,Length: 5 hrs and 44 mins
Mine to Hold,Natasha Madison,Length: 6 hrs and 35 mins
El caso Alaska Sanders [The Alaskan Sanders Case],Joël Dicker,Length: 17 hrs and 33 mins
The Tyrant Alpha's Rejected Mate,Cate C. Wells,Length: 12 hrs and 23 mins
The Masculine in Relationship,GS Youngblood,Length: 7 hrs and 47 mins
The Devil You Know,Elizabeth O'Roark,Length: 8 hrs and 38 mins
Dark Harvest,Will Jordan,Length: 11 hrs and 41 mins
The Sins of Saint,Bella J,Length: 5 hrs and 56 mins
Daisy Darker,Alice Feeney,Length: 10 hrs and 54 mins
"Galactic Federations, Councils, & Secret Space Programs",Michael Salla,Length: 8 hrs and 11 mins
The Diary of St. Maria Faustina Kowalska,Saint Maria Faustina Kowalska,Length: 30 hrs and 9 mins
Breaking the Bank,Daniel Schinhofen,Length: 12 hrs and 1 min
The Lost Metal,Brandon Sanderson,Length: 10 hrs
God of Malice,Rina Kent,Length: 15 hrs and 30 mins
The Last White Man,Mohsin Hamid,Length: 3 hrs and 5 mins
Black Dog,Stuart Woods,Length: 6 hrs and 16 mins
Out of the Clear Blue Sky,Kristan Higgins,Length: 14 hrs and 49 mins
Drop Dead Queen,"C. Hallman,J.L. Beck",Length: 8 hrs and 13 mins
East of Eden,John Steinbeck,Length: 25 hrs and 23 mins
Crooked Paradise: The Complete Series,"Eva Chance,Harlow King",Length: 35 hrs and 2 mins
Shared Insanity,KamikazePotato,Length: 19 hrs and 18 mins
"Space Assassins Box Set: The Complete Series, Books 1-5",Scott Baron,Length: 44 hrs and 49 mins
So Not Meant to Be,Meghan Quinn,Length: 13 hrs and 23 mins
Take Charge of You,"David Novak,Jason Goldsmith",Length: 4 hrs and 50 mins
A Queen of Ruin,K.F. Breene,Length: 20 hrs and 44 mins
A World of Curiosities,Louise Penny,Length: 15 hrs
The Last Lavender Sister,Melissa Brayden,Length: 10 hrs and 28 mins
Talyn: Rebirth,Benjamin Medrano,Length: 10 hrs and 55 mins
The Rose at War,Danie Ware,Length: 14 hrs and 46 mins
Arrival,Matthew Peed,Length: 7 hrs and 30 mins
Geopolitical Alpha,Marko Papic,Length: 7 hrs and 52 mins
"First, Break All the Rules","Marcus Buckingham,Gallup Press,Jim Harter - foreword",Length: 9 hrs and 51 mins
Danger Zone,"Hal Brands,Michael Beckley",Length: 8 hrs and 26 mins
For the Children's Sake,Susan Schaeffer Macaulay,Length: 6 hrs and 11 mins
Glacier's Edge,R. A. Salvatore,Length: 13 hrs and 43 mins
Star Trek: Picard: No Man's Land,"Kirsten Beyer,Mike Johnson",Length: 1 hr and 39 mins
Beware of Chicken: A Xianxia Cultivation Novel,Casualfarmer,Length: 12 hrs and 35 mins
Fatal Witness,Robert Bryndza,Length: 9 hrs and 29 mins
We Never Die,Matt Fraser,Length: 6 hrs and 25 mins
Say You Swear,Meagan Brandy,Length: 17 hrs and 4 mins
The Flag and the Cross,"Samuel L. Perry,Philip S. Gorski,Jemar Tisby - foreword",Length: 4 hrs and 43 mins
Garnet Flats,Devney Perry,Length: 8 hrs and 31 mins
American Royals III: Rivals,Katharine McGee,Length: 12 hrs and 32 mins
The Agatha Christie Collection: 30 Books,Agatha Christie,Length: 46 hrs and 11 mins
Outdoor Kids in an Inside World,Steven Rinella,Length: 6 hrs and 3 mins
Songs of Suffering,"Joni Eareckson Tada,Keith Getty - foreword,Kristyn Getty - foreword",Length: 3 hrs and 30 mins
The Demon Awakens (Dramatized Adaptation),R.A. Salvatore,Length: 19 hrs and 5 mins
Trailed,Kathryn Miles,Length: 9 hrs and 10 mins
Second Flight,"J.N. Chaney,Chris Kennedy",Length: 10 hrs
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
13 Things Mentally Strong People Don't Do,Amy Morin,Length: 6 hrs and 36 mins
The Science of Getting Rich,Wallace D. Wattles,Length: 2 hrs and 28 mins
Refugee,Alan Gratz,Length: 7 hrs and 37 mins
1491,Charles C. Mann,Length: 16 hrs and 17 mins
The Game,Neil Strauss,Length: 9 hrs and 27 mins
The Shack,William P. Young,Length: 9 hrs and 15 mins
The Mystery of Montague Morgan,Karen Baugh Menuhin,Length: 8 hrs and 24 mins
Broken Bonds,J Bree,Length: 8 hrs and 51 mins
Centers of Gravity,Marko Kloos,Length: 9 hrs and 47 mins
My Dead World: Book 4,Jacqueline Druga,Length: 5 hrs and 46 mins
A Long Walk to Water,Linda Sue Park,Length: 2 hrs and 41 mins
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
I Am Malala,"Malala Yousafzai,Christina Lamb - contributor",Length: 9 hrs and 55 mins
Diana,Andrew Morton,Length: 13 hrs and 2 mins
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs
The Case of the Murderous Dr. Cream,Dean Jobb,Length: 9 hrs and 43 mins
The Scars That Bind Us,Michele Notaro,Length: 12 hrs and 20 mins
The 15 Commitments of Conscious Leadership,"Jim Dethmer,Diana Chapman,Kaley Klemp",Length: 7 hrs and 53 mins
Devotion,Adam Makos,Length: 14 hrs and 44 mins
Undisputed Truth,"Mike Tyson,Larry Sloman",Length: 20 hrs and 46 mins
On Killing,Lt. Col. Dave Grossman,Length: 10 hrs and 23 mins
What Your Food Ate,"David R. Montgomery,Anne Biklé",Length: 15 hrs and 53 mins
Sanando la herida materna [Healing the Maternal Wound],Aura Medina de Wit,Length: 10 hrs and 35 mins
Leading Change,John P. Kotter,Length: 6 hrs and 34 mins
The Secrets You Keep,Kate White,Length: 10 hrs and 18 mins
The Skinny Confidential's Get the F*ck Out of the Sun,Lauryn Evarts Bosstick,Length: 9 hrs and 43 mins
Lost and Found in Paris,Lian Dolan,Length: 10 hrs and 30 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins
Endurance,Alfred Lansing,Length: 10 hrs and 20 mins
The Energy Bus,Jon Gordon,Length: 2 hrs and 39 mins
The Miracle Morning,Hal Elrod,Length: 4 hrs and 57 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
Getting Things Done,David Allen,Length: 10 hrs and 23 mins
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
The Purpose Driven Life,Rick Warren,Length: 9 hrs and 38 mins
The Seat of the Soul,Gary Zukav,Length: 10 hrs and 12 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 8 mins
A Wrinkle in Time,Madeleine L'Engle,Length: 6 hrs and 27 mins
The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
The Happiness Advantage,Shawn Achor,Length: 7 hrs and 19 mins
"Multipliers, Revised and Updated","Liz Wiseman,Stephen Covey - foreword",Length: 11 hrs and 24 mins
Bossypants,Tina Fey,Length: 5 hrs and 32 mins
Holes,Louis Sachar,Length: 4 hrs and 30 mins
Divergent,Veronica Roth,Length: 11 hrs and 11 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
Year of Yes,Shonda Rhimes,Length: 7 hrs and 4 mins
Neuromancer,William Gibson,Length: 10 hrs and 31 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
Catch-22,Joseph Heller,Length: 19 hrs and 58 mins
The Life-Changing Magic of Tidying Up,Marie Kondo,Length: 4 hrs and 50 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,Length: 11 hrs and 11 mins
Sharp Objects,Gillian Flynn,Length: 9 hrs and 34 mins
Shantaram,Gregory David Roberts,Length: 42 hrs and 59 mins
Loving What Is,"Byron Katie,Stephen Mitchell",Length: 9 hrs and 7 mins
The Advantage,Patrick Lencioni,Length: 5 hrs and 25 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
Their Eyes Were Watching God,Zora Neale Hurston,Length: 6 hrs and 44 mins
Drive,Daniel H. Pink,Length: 5 hrs and 53 mins
The Bell Jar,Sylvia Plath,Length: 7 hrs and 24 mins
