title,author,length
The Woman in the Library,Sulari Gentill,Length: 8 hrs and 58 mins
The Fault in Our Stars,John Green,Length: 7 hrs and 11 mins
Murder Through the English Post,Jessica Ellicott,Length: 9 hrs
"Cold, Cold Bones",Kathy Reichs,Length: 10 hrs and 31 mins
The Many Daughters of Afong Moy,Jamie Ford,Length: 13 hrs and 28 mins
Tokens and Towers 2,Harmon Cooper,Length: 11 hrs and 17 mins
War Transformed,Mick Ryan,Length: 9 hrs and 38 mins
Always Be My Duchess,Amalie Howard,Length: 9 hrs and 43 mins
Chrysalis,Lincoln Child,Length: 9 hrs and 56 mins
Small Giants,Bo Burlingham,Length: 10 hrs and 47 mins
Democracy in Chains,Nancy MacLean,Length: 10 hrs and 53 mins
The Forty Rules of Love,Elif Shafak,Length: 11 hrs and 34 mins
The Structure of Scientific Revolutions,Thomas S. Kuhn,Length: 10 hrs and 14 mins
Punished by Rewards,Alfie Kohn,Length: 13 hrs and 9 mins
Boyd,Robert Coram,Length: 19 hrs and 41 mins
A Crack in Creation,"Jennifer A. Doudna,Samuel H. Sternberg",Length: 9 hrs and 22 mins
Pain Free (Revised and Updated Second Edition),"Pete Egoscue,John Lynch - foreword",Length: 5 hrs and 59 mins
Dauntless,Jack Campbell,Length: 9 hrs and 55 mins
Nimitz at War,Craig L. Symonds,Length: 14 hrs and 26 mins
Noah Wolf Series: Books 17-19,David Archer,Length: 20 hrs and 51 mins
Uniquely Human: Updated and Expanded,"Barry M. Prizant PhD,Tom Fields-Meyer - contributor",Length: 11 hrs and 48 mins
Wild Is the Witch,Rachel Griffin,Length: 8 hrs and 44 mins
The Age of Paradise: Christendom from Pentecost to the First Millennium,John Strickland,Length: 11 hrs and 26 mins
The Book of Awakening,Mark Nepo,Length: 17 hrs and 26 mins
Flyboys,James Bradley,Length: 14 hrs and 22 mins
Thirteen Reasons Why,Jay Asher,Length: 6 hrs and 24 mins
An Astronaut's Guide to Life on Earth,Chris Hadfield,Length: 8 hrs and 45 mins
The Island of Dr. Moreau,H. G. Wells,Length: 5 hrs and 18 mins
Quantum Love,Laura Berman Ph.D.,Length: 11 hrs and 49 mins
The Lucifer Effect,Philip Zimbardo,Length: 26 hrs and 44 mins
The Heart Is a Lonely Hunter,Carson McCullers,Length: 12 hrs and 28 mins
Operation Mincemeat,Ben Macintyre,Length: 11 hrs and 18 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Forging Silver into Stars,Brigid Kemmerer,Length: 17 hrs and 28 mins
A Cursed Kiss,Jenny Hickman,Length: 14 hrs
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Soul in the Game,Vitaliy Katsenelson,Length: 10 hrs and 8 mins
Taking Charge of Your Fertility,Toni Weschler,Length: 10 hrs and 30 mins
Born in Blackness,Howard W. French,Length: 16 hrs and 49 mins
You,Caroline Kepnes,Length: 11 hrs and 6 mins
"Nine Women, One Dress",Jane L. Rosen,Length: 6 hrs and 57 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
The Last to Vanish,Megan Miranda,Length: 9 hrs and 23 mins
Becoming Your Own Banker,R. Nelson Nash,Length: 3 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Heroic Age Trilogy,Rob J. Hayes,Length: 44 hrs and 8 mins
The Island of Dr. Moreau,H. G. Wells,Length: 5 hrs and 18 mins
Quantum Love,Laura Berman Ph.D.,Length: 11 hrs and 49 mins
The Lucifer Effect,Philip Zimbardo,Length: 26 hrs and 44 mins
The Heart Is a Lonely Hunter,Carson McCullers,Length: 12 hrs and 28 mins
Operation Mincemeat,Ben Macintyre,Length: 11 hrs and 18 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Forging Silver into Stars,Brigid Kemmerer,Length: 17 hrs and 28 mins
A Cursed Kiss,Jenny Hickman,Length: 14 hrs
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Soul in the Game,Vitaliy Katsenelson,Length: 10 hrs and 8 mins
Taking Charge of Your Fertility,Toni Weschler,Length: 10 hrs and 30 mins
Born in Blackness,Howard W. French,Length: 16 hrs and 49 mins
You,Caroline Kepnes,Length: 11 hrs and 6 mins
"Nine Women, One Dress",Jane L. Rosen,Length: 6 hrs and 57 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
The Last to Vanish,Megan Miranda,Length: 9 hrs and 23 mins
Becoming Your Own Banker,R. Nelson Nash,Length: 3 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Heroic Age Trilogy,Rob J. Hayes,Length: 44 hrs and 8 mins
